Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C3, C5, C6, C7, C8, C9",0805,8,1uF  50V,CL10A105KB8NNNC
"C11, C12, C13, C2, C4",0805,5,1uF,CL10A105KB8NNNC
"D1, D2",0805,2,LED,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C,C165948
J10,PinSocket_1x02_P2.54mm_Vertical,1,GPIO-25,
J11,PinSocket_1x02_P2.54mm_Vertical,1,Battery Charger IN,
J12,PinSocket_1x02_P2.54mm_Vertical,1,GPIO-26,
"J13, J18",PinSocket_1x02_P2.54mm_Vertical,2,DAC-Power,
"J14, J15",PinSocket_1x04_P2.54mm_Vertical,2,Conn_01x04,
J16,PinSocket_1x02_P2.54mm_Vertical,1,Battery VCC,
J17,PinSocket_1x02_P2.54mm_Vertical,1,Battery GND,
J19,Jack_3.5mm_PJ320D_Horizontal,1,AudioJack4,
J2,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,
J20,PinSocket_1x02_P2.00mm_Vertical,1,Conn_01x02,
J3,PinHeader_1x06_P2.54mm_Vertical,1,GPIO,
J4,PinSocket_1x02_P2.54mm_Vertical,1,ESP-TX,
J5,PinSocket_1x02_P2.54mm_Vertical,1,ESP-RX,
J6,PinSocket_1x02_P2.54mm_Vertical,1,GPIO-0,
J7,PinSocket_1x02_P2.54mm_Vertical,1,EN,
J8,PinSocket_1x02_P2.54mm_Vertical,1,Power-Switch,
J9,PinSocket_1x02_P2.54mm_Vertical,1,GPIO-27,
"Q1, Q2",SOT-23,2,SS8050,
Q3,SOP65P640X120-8N,1,FS8205A,
"R1, R2",0805,2,5.1k,0603WAF5101T5E
"R3, R4",0805,2,10k,
"R5, R6, R7, R8",0805,4,1k,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
U2,ESP32-WROOM-32UE,1,ESP32-WROOM-32UE,
U3,SOT-23-5,1,AP2112K-3.3TRG1,C51118
U4,TSOT-23-6,1,TP4057,
U5,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,
U6,SOT-23-6,1,DW01A,
